MME8120;Adaptive Web Design
MLM0020;Algebra
MLR0020;Algebra
MLE0020;Algebra
MLM0019;Algebra 1 (Algebra liniara)
MLR0019;Algebra 1 (Algebra liniara)
MLE0019;Algebra 1 (Algebra liniara)
MME3112;Algebra omologica
MLM0065;Algoritmi de optimizare
MLM5104;Algoritmi fundamentali
MLM5108;Algoritmi si programare
MLR5115;Algoritmi si Programare
MLE5115;Algoritmi si Programare
MLM0008;Analiza complexa
MLR0008;Analiza complexa
MLE0008;Analiza complexa
MLR0004;Analiza functionala
MLM0004;Analiza functionala
MME3005;Analiza functionala aplicata (lb. de predare engleza)
MLE0002;Analiza matematica
MLR0002;Analiza matematica
MLM0002;Analiza matematica
MLR0001;Analiza matematica 1 (Analiza pe R)
MLM0001;Analiza matematica 1 (Analiza pe R)
MLE0001;Analiza matematica 1 (Analiza pe R)
MLM0007;Analiza matematica 3 (Calcul integral in R^n)
MMG9701;Antrepenoriat in IT
MME8148;Antreprenoriat in IT
MLR0044;Aplicatii ale geometriei in informatica
MME8063;Aplicatii ale inteligentei computationale in ingineria soft
MME8062;Aplicatii ale lingvisticii computationale
MLE5153;Arhitectura aplicatiilor cloud
MLR5004;Arhitectura sistemelor de calcul
MLG5004;Arhitectura sistemelor de calcul
MLM5004;Arhitectura sistemelor de calcul
MLE5004;Arhitectura sistemelor de calcul
MME8027;Arhitecturi orientate pe servicii
MME3051;Aritmetica modulara si criptografie
MMM3090;Aspecte metodice in analiza elementara II
MDM3201;Aspecte metodice in predarea algoritmilor
MDM3202;Aspecte metodice in predarea limbajelor de programare
MLR0024;Astronomie
MLM0024;Astronomie
MLE5147;Automatizarea proceselor de business
MLE5027;Baze de date
MLR5027;Baze de date
MLG5027;Baze de date
MLM5027;Baze de date
MLE5150;Calcul afectiv
MLG0077;Calcul diferential si integral
MLM0028;Calcul numeric
MMR8057;Capitole avansate de baze de date
FRM0001;Cerc de programare in C
MDM5002;Cercetare educationala II
MMG8156;Cicluri de viata ale sistemelor software
MLR0046;Complemente de algebra
MLM3128;Complemente de geometrie sintetica
MLE5152;Computer vision si deep learning
MMR8030;Computer Vision si procesare avansata de imagini in medii virtuale distribuite
MDM1011;Comunicare eficienta si managementul emotiilor
MLR7005;Comunicare si dezvoltare profesionala in informatica
MME8150;Concepte avansate de testare
MMM3033;Constructii geometrice
MLE0949;Criptografie cu cheie publica
PMM5103;Curriculum scolar si dezvoltare curriculara
MMR8056;Data mining
MME8072;Dezvoltarea aplicatiilor mobile (in engleza)
MLM7021;Dezvoltarea competentelor personale
MLM0011;Ecuatii cu derivate partiale
MLE0011;Ecuatii cu derivate partiale
MLR0011;Ecuatii cu derivate partiale
MLM0009;Ecuatii diferentiale
MLE0009;Ecuatii diferentiale
MLR0009;Ecuatii diferentiale
MDM1004;Etica si integritate academica
MME3150;Etica si integritate academica. Metodologia cercetarii stiintifice
MMR3150;Etica si integritate academica. Metodologia cercetarii stiintifice
MMG3150;Etica si integritate academica. Metodologia cercetarii stiintifice
PMM5312;Evaluare si testare in educatie
MLG0058;Fundamentele algebrice ale informaticii
MLG5005;Fundamentele programarii
MLM5107;Fundamentele programarii
MLR5005;Fundamentele programarii
MLE5005;Fundamentele programarii
MLR0013;Geometrie 1 (Geometrie analitica)
MLE0013;Geometrie 1 (Geometrie analitica)
MLM0013;Geometrie 1 (Geometrie analitica)
MLR0016;Geometrie 3 (Geometria diferentiala a curbelor si suprafetelor)
MLM0016;Geometrie 3 (Geometria diferentiala a curbelor si suprafetelor)
MME8037;Implementarea sistemelor de gestiune a bazelor de date
MME8025;Ingineria cerintelor
MLM5011;Ingineria sistemelor soft
MMM3057;Instruire asistata de calculator
MMR3057;Instruire asistata de calculator
MME3057;Instruire asistata de calculator (lb. de predare engleza)
MME8042;Instruire automata
MLR5044;Instrumente CASE
MMR8159;Instrumente inteligente pentru bunastarea sociala
MLR5048;Interactiunea om-calculator
MME8173;Internetul obiectelor
MLM5085;Introducere in criptografie
MLG5119;Introducere in programare
MLE5154;Introducere in robotica
MMG8999;Introducere in SAP/ABAP
MLG5118;Introducere in tehnologii ERP
LLU0011;Limba engleza (1)
MLE5023;Limbaje formale si tehnici de compilare
MLR5023;Limbaje formale si tehnici de compilare
MLM5023;Limbaje formale si tehnici de compilare
MLG5023;Limbaje formale si tehnici de compilare
MLE5055;Logica computationala
MLG5055;Logica computationala
MLR5055;Logica computationala
MLM0023;Logica matematica
MLM5103;Logica matematica si computationala
MLE0070;Logica matematica si teoria multimilor
MLR0070;Logica matematica si teoria multimilor
MMG8153;Managementul fluxului de operatii
MMM8061;Managementul proiectelor enterprise
MLM0018;Matematica de baza
MLR0018;Matematica de baza
MLM5013;Medii de proiectare si programare
MDM1012;Medii virtuale de invatare
MMM8062;Metode agile si strategii de dezvoltare enterprise
MME8048;Metode avansate de analiza datelor
MMM8145;Metode avansate de gestionarea datelor
MLE5008;Metode avansate de programare
MLM5008;Metode avansate de programare
MLG5008;Metode avansate de programare
MLR5008;Metode avansate de programare
MLM5135;Metode avansate de rezolvare a problemelor de informatica
MLM3125;Metode avansate de rezolvare a problemelor de matematica
XND2306;Metode de rezolvare a problemelor de matematică
MME8005;Metode formale in programare
MLR5067;Metode inteligente de rezolvare a problemelor reale
MME3104;Metode matematice in mecanica fluidelor
MLR0073;Metode numerice cu aplicatii
MME8088;Metode statistice computationale
MDM3004;Metodologia rezolvarii problemelor de matematica
MME8143;Metodologii Agile de dezvoltare a aplicatiilor software
MMG8143;Metodologii agile de dezvoltare a aplicatiilor software
MMM8066;Metrici software si managementul calitatii
MMM8079;Modelare Monte Carlo si aplicatii
MME8172;Modelare numerica in analiza datelor
MME8094;Modelarea formala a proceselor concurente
MLG5077;Modelarea integrata a sistemelor informatice complexe
MME8026;Modele de calcul pentru sisteme embedded
